Year,H,HR,SO,BA,TB,ERA
2025,8.26,1.16,8.36,0.245,13.6,4.15
2024,8.2,1.12,8.48,0.243,13.45,4.07
2023,8.4,1.21,8.61,0.248,14.01,4.33
2022,8.16,1.07,8.4,0.243,13.28,3.96
2021,8.13,1.22,8.68,0.244,13.69,4.26
2020,8.04,1.28,8.68,0.245,13.73,4.44
2019,8.65,1.39,8.81,0.252,14.92,4.49
2018,8.44,1.15,8.48,0.248,13.93,4.14
2017,8.69,1.26,8.25,0.255,14.51,4.35
2016,8.71,1.16,8.03,0.255,14.23,4.18
2015,8.67,1.01,7.71,0.254,13.78,3.95
2014,8.56,0.86,7.7,0.251,13.17,3.74
2013,8.66,0.96,7.55,0.253,13.54,3.86
2012,8.65,1.02,7.5,0.255,13.78,4.01
2011,8.7,0.94,7.1,0.255,13.61,3.94
2010,8.76,0.95,7.06,0.257,13.71,4.07
2009,8.96,1.04,6.91,0.262,14.26,4.31
2008,9.06,1,6.77,0.264,14.29,4.32
2007,9.25,1.02,6.62,0.268,14.59,4.46
2006,9.28,1.11,6.52,0.269,14.88,4.52
2005,9.05,1.03,6.3,0.264,14.33,4.28
2004,9.17,1.12,6.55,0.266,14.74,4.46
2003,9.07,1.07,6.34,0.264,14.48,4.39
2002,8.92,1.04,6.47,0.261,14.22,4.27
2001,9.03,1.12,6.67,0.264,14.6,4.41
2000,9.31,1.17,6.45,0.27,15.05,4.76
